Rotation ID,Schools,Sites,Program,Experience,Student Count,Student Slots,Students,Start Date,End Date,Shift Start,Shift End,Total Hours per Person,Days of the Week,Faculty Name,Preceptor Name,Rotation Type,Course,Unit,Status,Cleaned Status,Year,Cohort,School_Cleaned,School Avg Hour per Person
344180,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,7,8,"10091, 10092, 10093, 10094, 10095, 10096, 10097",1/10/23,2/28/23,7:00:00,19:00:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,22: Med/Surg,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
344181,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,8,8,"10079, 10098, 10099, 10100, 10101, 10102, 10103, 10104",1/12/23,3/2/23,7:00:00,19:00:00,96,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,22: Med/Surg,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
344182,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,6,8,"10058, 10059, 10060, 10061, 10063, 10105",2/28/23,4/23/23,7:00:00,19:00:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 324 - Adult Health I,22: Med/Surg,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
344183,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,8,8,"10106, 10107, 10108, 10109, 10110, 10111, 10112, 10113",3/2/23,4/20/23,7:00:00,19:00:00,96,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 324 - Adult Health I,22: Med/Surg,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
344184,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,8,8,"10107, 10108, 10109, 10110, 10111, 10112, 10113, 10114",5/9/23,6/27/23,7:00:00,19:00:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,22: Med/Surg,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
344185,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,7,8,"10058, 10059, 10060, 10061, 10063, 10105, 10115",5/11/23,6/29/23,7:00:00,19:00:00,96,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,22: Med/Surg,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
344186,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10051, 10052, 10053, 10054, 10055, 10116, 10117, 10118",3/7/23,4/25/23,7:00:00,19:00:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 324 - Adult Health I,3SW,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
344187,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10119, 10120, 10121, 10122, 10123, 10124, 10125, 10126",3/7/23,4/25/23,7:00:00,19:00:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 324 - Adult Health I,5W,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
344189,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,7,8,"10127, 10128, 10129, 10130, 10131, 10132, 10133",1/10/23,2/28/23,7:00:00,19:00:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,3SW,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
344190,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10134, 10135, 10136, 10137, 10138, 10139, 10140, 10141",1/10/23,2/28/23,7:00:00,19:00:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,5W,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
344191,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,7,8,"10078, 10142, 10034, 10143, 10050, 10144, 10145",1/12/23,3/2/23,7:00:00,19:00:00,96,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,5W,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
344192,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10051, 10052, 10053, 10054, 10055, 10117, 10118, 10116",5/9/23,6/27/23,7:00:00,19:00:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,3SW,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
344193,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10123, 10119, 10120, 10124, 10126, 10125, 10122, 10133",5/9/23,6/27/23,7:00:00,19:00:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,5W,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
344201,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,7,8,"10146, 10147, 10148, 10149, 10150, 10151, 10152",1/14/23,3/4/23,7:00:00,15:00:00,48,Sat,ID Missing,No Preceptor Assigned,Fundamentals,NR 226 - Fundamentals - Patient Care,4W,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
344202,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10153, 10154, 10155, 10156, 10157, 10158, 10159, 10160",5/11/23,6/29/23,7:00:00,15:00:00,48,Thu,ID Missing,No Preceptor Assigned,Fundamentals,NR 226 - Fundamentals - Patient Care,5E,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
344203,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10161, 10162, 10163, 10164, 10165, 10166, 10167, 10168",5/11/23,6/29/23,7:00:00,15:00:00,48,Thu,ID Missing,No Preceptor Assigned,Fundamentals,NR 226 - Fundamentals - Patient Care,4W,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
344204,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,6,8,"10169, 10170, 10171, 10172, 10173, 10174",5/12/23,6/30/23,7:00:00,15:00:00,48,Fri,ID Missing,No Preceptor Assigned,Fundamentals,NR 226 - Fundamentals - Patient Care,4W,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
344207,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10175, 10176, 10177, 10178, 10179, 10180, 10181, 10182",5/13/23,7/1/23,7:00:00,15:00:00,48,Sat,ID Missing,No Preceptor Assigned,Fundamentals,NR 226 - Fundamentals - Patient Care,4W,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
347990,Kennesaw State University - Nursing,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,7,8,"10183, 10184, 10185, 10186, 10187, 10188, 10189",3/1/23,4/23/23,6:30:00,13:00:00,46,Sat,ID Missing,No Preceptor Assigned,Fundamentals,3209 - Holistic Nursing,4S,Archived (Completed),Completed,2023,Spring 2023,Kennesaw State University,57.17
348030,Emory University - SON Pre-licensure,Emory Johns Creek Hospital,Nursing,Cohort Rotation,6,8,"10190, 10191, 10192, 10193, 10194, 10195",4/16/23,5/14/23,7:00:00,19:00:00,96,,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NRSG 356D - Acute and Chronic I Care Clinical Practicum Adult and Geriatric Populations,3rd floor: med-surg,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
348053,Kennesaw State University - Nursing,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10196, 10197, 10198, 10199, 10200, 10201, 10202, 10203",1/29/23,4/29/23,6:30:00,15:00:00,96,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,3313 - Adult Health,4S,Archived (Completed),Completed,2023,Spring 2023,Kennesaw State University,57.17
348081,Emory University - SON Pre-licensure,Emory Johns Creek Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,4/16/23,5/14/23,7:00:00,19:00:00,96,,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NRSG 360D - Acute and Chronic Care II Adult and Geriatric Practicum,4th floor: med-surg,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
348084,Emory University - SON Pre-licensure,Emory Johns Creek Hospital,Nursing,Cohort Rotation,5,8,"10204, 10205, 10206, 10207, 10208",4/16/23,5/14/23,7:00:00,19:00:00,96,,"ID Missing, ID Missing",No Preceptor Assigned,MedSurg - Acute Care,NRSG 360D - Acute and Chronic Care II Adult and Geriatric Practicum,6N: medical,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
348095,Emory University - SON Pre-licensure,Emory University Hospital,Nursing,Cohort Rotation,5,8,"10209, 10210, 10211, 10212, 10213",4/16/23,5/14/23,7:00:00,19:00:00,96,,"ID Missing, ID Missing",No Preceptor Assigned,MedSurg - Acute Care,NRSG 360D - Acute and Chronic Care II Adult and Geriatric Practicum,7T: Surgical,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
348126,Emory University - SON Pre-licensure,Emory University Hospital Midtown,Nursing,Cohort Rotation,5,8,"10214, 10215, 10216, 10217, 10218",4/16/23,5/14/23,7:00:00,19:00:00,96,,"ID Missing, ID Missing, ID Missing",No Preceptor Assigned,MedSurg - Acute Care,NRSG 360D - Acute and Chronic Care II Adult and Geriatric Practicum,72: Med/Surg,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
348673,Georgia State University - Perimeter College,Emory Long Term Acute Care Hospital,Nursing,Cohort Rotation,4,6,"10219, 10220, 10221, 10222",1/26/23,2/23/23,7:00:00,19:00:00,60,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NURS 1930 - Intermediate Concepts of Nursing,LTAC,Archived (Completed),Completed,2023,Spring 2023,Georgia State University,59.16
348676,Georgia State University - Perimeter College,Emory Long Term Acute Care Hospital,Nursing,Cohort Rotation,6,6,"10223, 10224, 10225, 10226, 10227, 10228",3/2/23,4/6/23,0:00:00,19:00:00,6,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NURS 1930 - Intermediate Concepts of Nursing,LTAC,Archived (Completed),Completed,2023,Spring 2023,Georgia State University,59.16
348678,Georgia State University - Perimeter College,Emory Decatur Hospital,Nursing,Cohort Rotation,5,6,"10229, 10230, 10231, 10232, 10233",1/20/23,2/17/23,7:00:00,19:00:00,60,Fri,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NURS 1930 - Intermediate Concepts of Nursing,Inpatient Rehab,Archived (Completed),Completed,2023,Spring 2023,Georgia State University,59.16
348679,Georgia State University - Perimeter College,Emory Decatur Hospital,Nursing,Cohort Rotation,6,6,"10234, 10235, 10236, 10237, 10238, 10239",2/24/23,3/31/23,7:00:00,19:00:00,60,Fri,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NURS 1930 - Intermediate Concepts of Nursing,Inpatient Rehab - 3600,Archived (Completed),Completed,2023,Spring 2023,Georgia State University,59.16
350042,University of North Georgia - Nursing,Emory Johns Creek Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,1/23/23,2/20/23,6:30:00,18:30:00,72,Mon,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,N3705 - Adult Health I,3rd floor: med-surg,Archived (Completed),Completed,2023,Spring 2023,University Of North Georgia,76.8
350043,University of North Georgia - Nursing,Emory Johns Creek Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,3/20/23,4/24/23,6:30:00,18:30:00,72,Mon,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,N4405 - Adult Health II,3rd floor: med-surg,Archived (Completed),Completed,2023,Spring 2023,University Of North Georgia,76.8
352700,University of North Georgia - Nursing,Emory Johns Creek Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,1/19/23,4/27/23,7:00:00,19:00:00,144,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,N4707 - Synthesis of Nursing Practice,4th floor: med-surg,Archived (Completed),Completed,2023,Spring 2023,University Of North Georgia,76.8
352794,University of North Georgia - Nursing,Emory Johns Creek Hospital,Nursing,Cohort Rotation,4,6,"10240, 10241, 10242, 10243",1/20/23,2/24/23,6:30:00,18:30:00,72,Fri,ID Missing,No Preceptor Assigned,Perinatal - OB,N3804 - Nursing Care of the Childbearing Family,"Maternity: M/B, L&D, NICU",Archived (Completed),Completed,2023,Spring 2023,University Of North Georgia,76.8
352795,University of North Georgia - Nursing,Emory Johns Creek Hospital,Nursing,Cohort Rotation,4,6,"10244, 10245, 10246, 10247",3/3/23,4/14/23,6:30:00,18:30:00,72,Fri,ID Missing,No Preceptor Assigned,Perinatal - OB,N3804 - Nursing Care of the Childbearing Family,"Maternity: M/B, L&D, NICU",Archived (Completed),Completed,2023,Spring 2023,University Of North Georgia,76.8
353326,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,6,6,"10248, 10249, 10250, 10251, 10026, 10252",1/13/23,2/3/23,7:00:00,19:00:00,96,Fri,ID Missing,No Preceptor Assigned,Critical/Intensive Care,NR341 - Complex Adult Health,ICU,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
353327,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,6,6,"10027, 10033, 10028, 10253, 10254, 10255",2/10/23,3/3/23,7:00:00,19:00:00,96,Fri,ID Missing,No Preceptor Assigned,Critical/Intensive Care,NR341 - Complex Adult Health,ICU,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
353328,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,6,6,"10256, 10257, 10258, 10091, 10259, 10260",3/10/23,3/31/23,7:00:00,19:00:00,96,Fri,ID Missing,No Preceptor Assigned,Critical/Intensive Care,NR341 - Complex Adult Health,ICU - 2500,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
353329,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,6,6,"10261, 10262, 10263, 10264, 10135, 10137",4/7/23,4/28/23,7:00:00,19:00:00,96,Fri,ID Missing,No Preceptor Assigned,Critical/Intensive Care,NR341 - Complex Adult Health,ICU - 2500,Archived (Completed),Completed,2023,Spring 2023,Chamberlain College of Nursing - Georgia,77.66
353522,Georgia Gwinnett College,Emory University Hospital at Wesley Woods,Nursing,Cohort Rotation,7,7,"10265, 10266, 10267, 10268, 10269, 10270, 10271",4/3/23,4/25/23,0:00:00,23:59:00,48,Mon,ID Missing,No Preceptor Assigned,Psychiatry; Mental Health; Behavioral Medicine,NURS 4020 - Wellness & Illness III,Inpatient Psych,Archived (Completed),Completed,2023,Spring 2023,Georgia Gwinnett College,40.0
357543,Emory University - SON Pre-licensure,Emory University Hospital Midtown,Nursing,Cohort Rotation,7,8,"10273, 10274, 10275, 10276, 10277, 10278, 10279",1/17/23,2/28/23,7:00:00,19:00:00,60,Tue,ID Missing,No Preceptor Assigned,Other (see comments),NRSG 391 Practicum - Adult and Geriatric Practicum,51: Med-Surg,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
357544,Emory University - SON Pre-licensure,Emory University Hospital,Nursing,Cohort Rotation,8,8,"10280, 10281, 10282, 10283, 10284, 10285, 10286, 10287",1/17/23,2/28/23,7:00:00,19:00:00,60,Tue,ID Missing,No Preceptor Assigned,Other (see comments),NRSG 391 Practicum - Adult and Geriatric Practicum,9E: Neuroscience,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
357549,Emory University - SON Pre-licensure,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,6,8,"10288, 10289, 10290, 10291, 10292, 10293",1/17/23,2/28/23,7:00:00,19:00:00,60,Tue,ID Missing,No Preceptor Assigned,Other (see comments),NRSG 391 Practicum - Adult and Geriatric Practicum,6W,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
357550,Emory University - SON Pre-licensure,Emory University Hospital,Nursing,Cohort Rotation,8,8,"10294, 10295, 10296, 10297, 10298, 10299, 10300, 10301",1/17/23,2/28/23,7:00:00,19:00:00,60,Tue,ID Missing,No Preceptor Assigned,Other (see comments),NRSG 391 Practicum - Adult and Geriatric Practicum,3G: Neurosciences,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
357552,Emory University - SON Pre-licensure,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,7,8,"10302, 10303, 10304, 10305, 10306, 10307, 10308",1/18/23,3/1/23,7:00:00,19:00:00,60,Wed,ID Missing,No Preceptor Assigned,Other (see comments),NRSG 391 Practicum - Adult and Geriatric Practicum,5E,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
357554,Emory University - SON Pre-licensure,Emory Johns Creek Hospital,Nursing,Cohort Rotation,8,8,"10309, 10310, 10311, 10312, 10313, 10314, 10315, 10316",1/18/23,3/1/23,7:00:00,19:00:00,60,Wed,ID Missing,No Preceptor Assigned,Other (see comments),NRSG 391 Practicum - Adult and Geriatric Practicum,4th floor: med-surg,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
357566,Emory University - SON Pre-licensure,Emory University Hospital Midtown,Nursing,Cohort Rotation,8,8,"10317, 10318, 10319, 10320, 10321, 10322, 10323, 10324",1/18/23,3/1/23,7:00:00,19:00:00,60,Wed,ID Missing,No Preceptor Assigned,Other (see comments),NRSG 391 Practicum - Adult and Geriatric Practicum,31: Ortho/Neuro,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
357568,Emory University - SON Pre-licensure,Emory University Hospital,Nursing,Cohort Rotation,8,8,"10325, 10326, 10327, 10328, 10329, 10330, 10331, 10332",1/18/23,3/1/23,7:00:00,19:00:00,60,Wed,ID Missing,No Preceptor Assigned,Other (see comments),NRSG 391 Practicum - Adult and Geriatric Practicum,6G: Medical,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
357569,Emory University - SON Pre-licensure,Emory University Hospital Midtown,Nursing,Cohort Rotation,5,5,"10333, 10334, 10335, 10336, 10337",1/21/23,3/4/23,7:00:00,19:00:00,60,Sat,ID Missing,No Preceptor Assigned,Other (see comments),NRSG 391 Practicum - Adult and Geriatric Practicum,72: Med/Surg,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
357570,Emory University - SON Pre-licensure,Emory University Hospital,Nursing,Cohort Rotation,8,8,"10338, 10339, 10340, 10341, 10342, 10343, 10344, 10345",1/21/23,3/4/23,7:00:00,19:00:00,60,Sat,ID Missing,No Preceptor Assigned,Other (see comments),NRSG 391 Practicum - Adult and Geriatric Practicum,7T: Surgical,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
359033,Emory University - SON Pre-licensure,Emory Johns Creek Hospital,Nursing,Cohort Rotation,6,6,"10353, 10354, 10355, 10356, 10357, 10358",3/16/23,4/27/23,7:00:00,17:00:00,60,Thu,ID Missing,No Preceptor Assigned,Fundamentals,527 MN - Foundation of Nursing Practice,6W oncology,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
359034,Emory University - SON Pre-licensure,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,5,8,"10359, 10360, 10361, 10362, 10363",3/16/23,5/4/23,0:00:00,23:59:00,60,Thu,ID Missing,No Preceptor Assigned,Fundamentals,527 MN - Foundation of Nursing Practice,4E,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
359038,Emory University - SON Pre-licensure,Emory Decatur Hospital,Nursing,Cohort Rotation,6,8,"10364, 10365, 10366, 10367, 10368, 10369",3/16/23,4/27/23,7:00:00,17:00:00,60,Thu,ID Missing,No Preceptor Assigned,Fundamentals,527 MN - Foundation of Nursing Practice,Surgical Oncology - 4200,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
359039,Emory University - SON Pre-licensure,Emory University Orthopaedics and Spine Hospital,Nursing,Cohort Rotation,5,8,"10370, 10371, 10372, 10373, 10374",3/16/23,4/27/23,7:00:00,17:00:00,60,Thu,ID Missing,No Preceptor Assigned,Fundamentals,527 MN - Foundation of Nursing Practice,2-4 floors: Orthopaedics,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
359048,Emory University - SON Pre-licensure,Emory University Hospital,Nursing,Cohort Rotation,7,8,"10375, 10376, 10377, 10378, 10379, 10380, 10381",3/16/23,4/27/23,17:00:00,17:00:00,60,Thu,ID Missing,No Preceptor Assigned,Fundamentals,527 MN - Foundation of Nursing Practice,3G: Neurosciences,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
359062,Emory University - SON Pre-licensure,Emory University Hospital Midtown,Nursing,Cohort Rotation,4,8,"10382, 10383, 10384, 10385",3/16/23,4/27/23,7:00:00,17:00:00,60,Thu,ID Missing,No Preceptor Assigned,Fundamentals,527 MN - Foundation of Nursing Practice,31: Ortho/Neuro,Archived (Completed),Completed,2023,Spring 2023,Emory University,60.77
