Rotation ID,Schools,Sites,Program,Experience,Student Count,Student Slots,Students,Start Date,End Date,Shift Start,Shift End,Total Hours per Person,Days of the Week,Faculty Name,Preceptor Name,Rotation Type,Course,Unit,Status
312954,Chamberlain College of Nursing - Georgia,Emory Johns Creek Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,5/1/23,6/25/23,7:00,19:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Senior Practicum - Collaborative Healthcare,3rd floor: med-surg,Archived (Denied)
312959,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,1/11/23,4/26/23,7:00,19:00,144,Wed,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,6E,Archived (Withdrawn)
312960,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10009, 10010, 10011, 10012, 10013, 10014, 10015, 10016",1/13/23,4/28/23,7:00,19:00,144,Fri,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,3SW,Archived (Completed)
312961,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10017, 10018, 10019, 10020, 10021, 10022, 10023, 10024",5/10/23,6/28/23,7:00,19:00,96,Wed,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Senior Practicum - Collaborative Healthcare,6W,Archived (Completed)
312962,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10025, 10026, 10027, 10028, 10029, 10030, 10031, 10032",5/12/23,6/30/23,7:00,19:00,96,Fri,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Senior Practicum - Collaborative Healthcare,3SW,Archived (Completed)
312968,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,0,8,No Students Assigned,1/11/23,4/26/23,7:00,19:00,144,Wed,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,51: Med-Surg,Archived (Withdrawn)
312969,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,0,8,No Students Assigned,1/2/23,4/26/23,7:00,19:00,144,Fri,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,51: Med-Surg,Archived (Denied)
312970,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,0,8,No Students Assigned,5/1/23,6/25/23,7:00,19:00,96,Wed,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Collaborative Health,51: Med-Surg,Archived (Denied)
312971,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,0,8,No Students Assigned,5/1/23,6/25/23,7:00,19:00,96,Fri,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Senior Practicum - Collaborative Healthcare,51: Med-Surg,Archived (Denied)
319596,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,6,6,"10033, 10034, 10035, 10036, 10037, 10038",3/10/23,4/28/23,7:00,15:00,48,Fri,ID Missing,No Preceptor Assigned,Psychiatry; Mental Health; Behavioral Medicine,NR 326 - Mental Health Nursing,Behavioral Health (acute) - 1800,Archived (Completed)
319605,Chamberlain College of Nursing - Georgia,Emory University Hospital at Wesley Woods,Nursing,Cohort Rotation,6,6,"10039, 10040, 10041, 10042, 10043, 10044",1/13/23,3/3/23,7:00,15:00,48,Fri,ID Missing,No Preceptor Assigned,Psychiatry; Mental Health; Behavioral Medicine,NR 326 - Mental Health Nursing,Inpatient Psych,Archived (Completed)
319606,Chamberlain College of Nursing - Georgia,Emory University Hospital at Wesley Woods,Nursing,Cohort Rotation,6,6,"10045, 10046, 10047, 10048, 10049, 10050",3/10/23,4/28/23,7:00,15:00,48,Fri,ID Missing,No Preceptor Assigned,Psychiatry; Mental Health; Behavioral Medicine,NR 326 - Mental Health Nursing,-no preference-,Archived (Completed)
322010,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,7,8,"10051, 10052, 10053, 10054, 10055, 10056, 10057",1/12/23,2/24/23,7:00,15:00,48,Thu,ID Missing,No Preceptor Assigned,Fundamentals,NR 226 - Fundamentals - Patient Care,4W,Archived (Completed)
322011,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,6,8,"10058, 10059, 10060, 10061, 10062, 10063",1/12/23,3/2/23,7:00,15:00,48,Thu,ID Missing,No Preceptor Assigned,Fundamentals,NR 226 - Fundamentals - Patient Care,5E,Archived (Completed)
322012,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,1/6/23,2/24/23,7:00,15:00,48,Fri,ID Missing,No Preceptor Assigned,Fundamentals,NR 226 - Fundamentals - Patient Care,4W,Archived (Denied)
337862,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,Emory University Hospital Midtown,Nursing,Precepted Rotation,1,1,10064,3/15/23,4/30/23,0:00,23:59,125,"Wed, Thu, Fri, Sat, Sun",ID Missing,No Preceptor Assigned,Practicum,NUR 404 - Senior Practicum and Role Transition,42/54: Mother/Baby,Archived (Completed)
338971,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,Emory Hillandale Hospital,Nursing,Precepted Rotation,0,1,No Students Assigned,1/11/23,3/12/23,0:00,23:59,125,"Wed, Thu, Fri, Sat, Sun",ID Missing,No Preceptor Assigned,Practicum,NUR 404 - Senior Practicum and Role Transition,Emergency Dept,Archived (Denied)
338972,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,Emory Hillandale Hospital,Nursing,Precepted Rotation,0,1,No Students Assigned,1/11/23,3/12/23,0:00,23:59,125,"Wed, Thu, Fri, Sat, Sun",ID Missing,No Preceptor Assigned,Practicum,NUR 404 - Senior Practicum and Role Transition,Med/Surg,Archived (Denied)
338977,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,Emory Hillandale Hospital,Nursing,Precepted Rotation,0,1,No Students Assigned,1/11/23,3/12/23,0:00,23:59,125,"Wed, Thu, Fri, Sat, Sun",ID Missing,No Preceptor Assigned,Practicum,NUR 404 - Senior Practicum and Role Transition,3rd floor,Archived (Denied)
338993,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,Emory University Hospital,Nursing,Precepted Rotation,0,1,No Students Assigned,1/11/23,3/12/23,0:00,23:59,125,"Wed, Thu, Fri, Sat, Sun",ID Missing,No Preceptor Assigned,Practicum,NUR 404 - Senior Practicum and Role Transition,5G: Medical,Archived (Denied)
338994,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,Emory University Hospital,Nursing,Precepted Rotation,0,1,No Students Assigned,1/11/23,3/12/23,0:00,23:59,125,"Wed, Thu, Fri, Sat, Sun",ID Missing,No Preceptor Assigned,Practicum,NUR 404 - Senior Practicum and Role Transition,4G: Telemetry,Archived (Denied)
338995,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,Emory University Hospital,Nursing,Precepted Rotation,0,1,No Students Assigned,1/11/23,3/12/23,0:00,23:59,125,"Wed, Thu, Fri, Sat, Sun",ID Missing,No Preceptor Assigned,Practicum,NUR 404 - Senior Practicum and Role Transition,6G: Medical,Archived (Denied)
338996,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,Emory University Hospital,Nursing,Precepted Rotation,1,1,10065,3/15/23,4/30/23,0:00,23:59,125,"Wed, Thu, Fri, Sat, Sun",ID Missing,No Preceptor Assigned,Practicum,NUR 404 - Senior Practicum and Role Transition,7T: Surgical,Archived (Completed)
338999,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,Emory Saint Joseph's Hospital,Nursing,Precepted Rotation,0,1,No Students Assigned,1/11/23,3/12/23,0:00,23:59,125,"Wed, Thu, Fri, Sat, Sun",ID Missing,No Preceptor Assigned,Practicum,NUR 404 - Senior Practicum and Role Transition,3W,Archived (Denied)
339000,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,Emory Saint Joseph's Hospital,Nursing,Precepted Rotation,0,1,No Students Assigned,1/11/23,3/12/23,0:00,23:59,125,"Wed, Thu, Fri, Sat, Sun",ID Missing,No Preceptor Assigned,Practicum,NUR 404 - Senior Practicum and Role Transition,4W,Archived (Denied)
339001,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,Emory Saint Joseph's Hospital,Nursing,Precepted Rotation,0,1,No Students Assigned,1/11/23,3/12/23,0:00,23:59,125,"Wed, Thu, Fri, Sat, Sun",ID Missing,No Preceptor Assigned,Practicum,NUR 404 - Senior Practicum and Role Transition,5W,Archived (Denied)
339109,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,6,8,"10066, 10067, 10068, 10069, 10070, 10071",1/19/23,4/20/23,7:00,16:00,95,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NUR 317 - Adult Health,6E,Archived (Completed)
340221,Georgia Baptist College of Nursing of Mercer University - Undergraduate Nursing,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,6,8,"10072, 10073, 10074, 10075, 10076, 10077",1/18/23,4/19/23,7:00,16:00,95,Wed,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NUR 317 - Adult Health,6W,Archived (Completed)
343680,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,1/14/23,4/29/23,7:00,19:00,144,Sat,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,6W,Archived (Withdrawn)
343681,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,1/14/23,4/29/23,7:00,19:00,144,Sat,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,3SW,Archived (Withdrawn)
343682,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,5/13/23,7/1/23,7:00,19:00,96,Sat,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Senior Practicum - Collaborative Healthcare,6W,Archived (Denied)
343683,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,5/13/23,7/1/23,7:00,19:00,96,Sat,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Collaborative Health,3SW,Archived (Withdrawn)
343684,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,0,8,No Students Assigned,1/14/23,4/29/23,7:00,19:00,144,Sat,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,51: Med-Surg,Archived (Withdrawn)
343685,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,0,8,No Students Assigned,5/1/23,6/25/23,7:00,19:00,96,Sat,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Senior Practicum - Collaborative Healthcare,51: Med-Surg,Archived (Denied)
343686,Chamberlain College of Nursing - Georgia,Emory Johns Creek Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,1/14/23,4/29/23,7:00,19:00,144,Sat,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,3rd floor: med-surg,Archived (Withdrawn)
343687,Chamberlain College of Nursing - Georgia,Emory Johns Creek Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,5/13/23,7/1/23,7:00,19:00,96,Sat,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Senior Practicum - Collaborative Healthcare,3rd floor: med-surg,Archived (Withdrawn)
343690,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,1/2/23,1/29/23,7:00,19:00,48,Mon,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343691,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,1/30/23,2/26/23,7:00,19:00,48,Mon,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343692,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,1/2/23,1/29/23,7:00,19:00,48,Wed,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343693,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,1/30/23,2/26/23,7:00,19:00,48,Wed,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343696,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,1/2/23,1/29/23,7:00,19:00,48,Sat,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343697,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,1/30/23,2/26/23,7:00,19:00,48,Sat,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343698,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,2/27/23,3/26/23,7:00,19:00,48,Mon,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343699,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,3/27/23,4/23/23,7:00,19:00,48,Mon,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343700,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,2/27/23,3/26/23,7:00,19:00,48,Wed,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343701,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,3/27/23,4/23/23,7:00,19:00,48,Wed,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343702,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,6,6,"10078, 10079, 10039, 10080, 10081, 10082",3/10/23,3/31/23,7:00,19:00,48,Fri,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Completed)
343703,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,4/7/23,4/28/23,7:00,19:00,48,Fri,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Withdrawn)
343704,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,2/27/23,3/26/23,7:00,19:00,48,Sat,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343705,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,3/27/23,4/23/23,7:00,19:00,48,Sat,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343706,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,5/1/23,5/28/23,7:00,19:00,48,Mon,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343707,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,5/29/23,6/25/23,7:00,19:00,48,Mon,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343708,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,5/1/23,5/28/23,7:00,19:00,48,Wed,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343709,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,5/29/23,6/25/23,7:00,19:00,48,Wed,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343712,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,5/1/23,5/28/23,7:00,19:00,48,Sat,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343713,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,6,No Students Assigned,5/29/23,6/25/23,7:00,19:00,48,Sat,ID Missing,No Preceptor Assigned,Perinatal - OB,NR 327 - Maternal Child,L&D,Archived (Denied)
343901,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,8,8,"10083, 10084, 10085, 10086, 10087, 10088, 10089, 10090",1/14/23,4/29/23,7:00,19:00,144,Sat,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446/452 - Colaborative and Capstone - Senior Practicum,Stroke Telemetry - 4400,Archived (Completed)
343902,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,5/11/23,6/29/23,7:00,19:00,96,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Senior Practicum - Collaborative Healthcare,General Medical,Archived (Denied)
343903,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,5/13/23,7/1/23,7:00,19:00,96,Sat,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 446 - Senior Practicum - Collaborative Healthcare,General Medical,Archived (Withdrawn)
344178,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,5/9/23,6/27/23,7:00,19:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,Surgical Oncology,Archived (Denied)
344179,Chamberlain College of Nursing - Georgia,Emory Decatur Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,5/11/23,6/29/23,7:00,19:00,96,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,Surgical Oncology,Archived (Denied)
344180,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,7,8,"10091, 10092, 10093, 10094, 10095, 10096, 10097",1/10/23,2/28/23,7:00,19:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,22: Med/Surg,Archived (Completed)
344181,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,8,8,"10079, 10098, 10099, 10100, 10101, 10102, 10103, 10104",1/12/23,3/2/23,7:00,19:00,96,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,22: Med/Surg,Archived (Completed)
344182,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,6,8,"10058, 10059, 10060, 10061, 10063, 10105",2/28/23,4/23/23,7:00,19:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 324 - Adult Health I,22: Med/Surg,Archived (Completed)
344183,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,8,8,"10106, 10107, 10108, 10109, 10110, 10111, 10112, 10113",3/2/23,4/20/23,7:00,19:00,96,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 324 - Adult Health I,22: Med/Surg,Archived (Completed)
344184,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,8,8,"10107, 10108, 10109, 10110, 10111, 10112, 10113, 10114",5/9/23,6/27/23,7:00,19:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,22: Med/Surg,Archived (Completed)
344185,Chamberlain College of Nursing - Georgia,Emory University Hospital Midtown,Nursing,Cohort Rotation,7,8,"10058, 10059, 10060, 10061, 10063, 10105, 10115",5/11/23,6/29/23,7:00,19:00,96,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,22: Med/Surg,Archived (Completed)
344186,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10051, 10052, 10053, 10054, 10055, 10116, 10117, 10118",3/7/23,4/25/23,7:00,19:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 324 - Adult Health I,3SW,Archived (Completed)
344187,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10119, 10120, 10121, 10122, 10123, 10124, 10125, 10126",3/7/23,4/25/23,7:00,19:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 324 - Adult Health I,5W,Archived (Completed)
344188,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,3/2/23,4/20/23,7:00,19:00,96,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 324 - Adult Health I,5W,Archived (Withdrawn)
344189,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,7,8,"10127, 10128, 10129, 10130, 10131, 10132, 10133",1/10/23,2/28/23,7:00,19:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,3SW,Archived (Completed)
344190,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10134, 10135, 10136, 10137, 10138, 10139, 10140, 10141",1/10/23,2/28/23,7:00,19:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,5W,Archived (Completed)
344191,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,7,8,"10078, 10142, 10034, 10143, 10050, 10144, 10145",1/12/23,3/2/23,7:00,19:00,96,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,5W,Archived (Completed)
344192,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10051, 10052, 10053, 10054, 10055, 10117, 10118, 10116",5/9/23,6/27/23,7:00,19:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,3SW,Archived (Completed)
344193,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,8,8,"10123, 10119, 10120, 10124, 10126, 10125, 10122, 10133",5/9/23,6/27/23,7:00,19:00,96,Tue,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,5W,Archived (Completed)
344194,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,0,8,No Students Assigned,5/11/23,6/29/23,7:00,19:00,96,Thu,ID Missing,No Preceptor Assigned,MedSurg - Acute Care,NR 325 - Adult Health II,5W,Archived (Withdrawn)
344201,Chamberlain College of Nursing - Georgia,Emory Saint Joseph's Hospital,Nursing,Cohort Rotation,7,8,"10146, 10147, 10148, 10149, 10150, 10151, 10152",1/14/23,3/4/23,7:00,15:00,48,Sat,ID Missing,No Preceptor Assigned,Fundamentals,NR 226 - Fundamentals - Patient Care,4W,Archived (Completed)
